course,college_code,college_name,type,SM,EZ,MU,LA,DV,VK,BH,BX,KN,KU,SC,ST,EW,Other Categories,page
Civil Engineering,JIT,"John Cox Memorial C S I Institute of Technology, Thiruvananthapuram",S,56879,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,KIT,"Kottayam Institute of Technology and Science, Kottayam",S,62915,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,KMC,"KMCT College of Engineering, Kozhikode",S,48280,58084,53819,-,-,-,-,-,-,-,62080,-,-,,5
Civil Engineering,KME,"K M E A Engineering College, Cochin",S,64823,-,-,-,-,-,-,-,-,-,-,-,-,FW:38860,5
Civil Engineering,KMW,"KMCT College of Engineering for Women, Kozhikode",S,64617,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,LMC,"Lourdes Matha College of Science and Technology, Thiruvananthapuram",S,63143,-,-,-,-,-,-,-,-,-,-,-,-,FW:36006,5
Civil Engineering,MBC,"Mar Baselios Christian College of Engineering and Technology,Idukki",S,50397,-,-,-,-,-,-,-,-,-,-,-,-,,5
Civil Engineering,MBI,"Mar Baselios Institute of Technology and Science, Ernakulam",S,55954,-,-,-,-,-,60109,-,-,-,60963,-,-,FW:36392,6
Civil Engineering,MBT,"Mar Baselios College of Engineering and Technology, Thiruvananthapuram",S,42987,56518,54194,60299,46052,43137,46171,46072,61545,-,65232,-,-,FW:23463,6
Civil Engineering,MCC,"Musaliar College Of Engineering, Thiruvananthapuram",S,61137,-,-,-,-,-,-,-,-,-,-,-,-,MM:45710,6
Civil Engineering,MCE,"Marian Engineering College, Thiruvananthapuram",S,55717,65221,60266,-,-,-,-,-,-,-,-,-,-,FW:38247,6
Civil Engineering,MCT,"Mohandas College of Engineering and Technology, Thiruvananthapuram",S,60395,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,MEA,"M E A Engineering College, Vengoor",S,38050,-,40799,-,-,-,-,-,-,-,-,-,-,"FW:26591, MM:37968",6
Civil Engineering,MEE,"MES College of Engineering and Technology, Ernakulam",S,58192,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,MEK,"MES Institute of Technology and Management, Kollam",S,53518,-,54328,-,-,-,-,-,-,-,-,-,-,FW:30535,6
Civil Engineering,MES,"M E S College of Engineering, Kuttippuram",S,36276,52265,37524,-,-,-,43436,-,-,-,62046,-,-,FW:19242,6
Civil Engineering,MET,"Mets School of Engineering, Thrissur",S,57990,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,MGP,"Saintgits College of Engineering, Kottayam",S,39069,49403,44798,63752,-,-,46586,47582,-,-,57635,-,-,FW:35051,6
Civil Engineering,MHP,"ACE College Of Engineering, Thiruvananthapuram",S,65411,-,-,-,-,-,-,-,-,-,-,-,-,"FW:49718, MM:42431",6
Civil Engineering,MLM,"Mangalam College of Engineering, Kottayam",S,63780,-,-,-,-,-,-,-,-,-,-,-,-,FW:32206,6
Civil Engineering,MLT,"Malabar Institute of Technology, Kannur",S,62481,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,MUS,"Muslim Association College of Engineering, Thiruvananthapuram",S,58576,-,-,-,-,-,-,-,-,-,-,-,-,MM:63033,6
Civil Engineering,MUT,"Muthoot Institute of Technology and Science,Ernakulam",S,25033,35844,26966,25185,-,29782,31347,47370,-,-,58513,-,49347,FW:20123,6
Civil Engineering,NIE,"Nirmala College of Engineering Technology and Management, Thirissur",S,49577,-,-,-,-,-,-,-,-,-,-,-,-,,6
Civil Engineering,PRC,"Providence College of Engineering, Chengannur",S,62986,-,-,-,-,-,-,-,-,-,-,-,-,FW:50569,6
Civil Engineering,RCE,"Royal College of Engineering and Technology, Thrissur",S,60358,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,RET,"Rajagiri School of Engineering and Technology, Ernakulam",S,16367,22931,19067,21544,-,-,18299,-,-,-,56997,-,-,"FW:15469, YN:24422",7
Civil Engineering,RIE,"Rajadhani Institute of Engineering and Technology, Thiruvananthapuram",S,51880,63530,57515,65348,-,-,63522,-,-,-,62420,-,-,FW:30790,7
Civil Engineering,SBC,"Sree Buddha College of Engineering, Alappuzha",S,51832,63200,64562,-,63109,-,-,-,-,-,-,-,56822,FW:29431,7
Civil Engineering,SCM,"SCMS School of Engineering and Technology, Ernakulam",S,28692,35862,30116,-,-,-,43476,-,-,-,-,-,-,"FW:25146, XS:48682",7
Civil Engineering,SHR,"Sahrdaya College of Engineering and Technology, Thrissur",S,43010,44386,44866,-,-,-,-,-,-,-,-,-,-,"FW:39672, YO:52325",7
Civil Engineering,SIT,"Sarabhai Institute of Science and Technology, Thiruvananthapuram",S,64400,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,SJC,"St Josephs College of Engineering and Technology, Palai",S,48273,59845,56619,-,-,-,-,-,-,-,63316,-,-,"FW:23548, YP:62161",7
Civil Engineering,SNC,"Sree Narayana Guru College of Engineering and Technology, Kannur",S,61240,62498,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,SNG,"Sree Narayana Gurukulam College of Engineering, Ernakulam",S,58953,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,SNP,"Sree Narayana Institute of Technology, Adoor",S,61514,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,SPT,"Sreepathy Institute of Management and Technology, Palakkad",S,55198,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,STC,"St Thomas Colllege of Engineering and Technology, Alappuzha",S,64483,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,STI,"St. Thomas Institute For Science and Technology, Thiruvananthapuram",S,64679,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,STM,"St.Thomas College of Engineering and Technology,Kannur",S,62354,-,-,-,-,-,-,-,-,-,-,-,-,FW:47984,7
Civil Engineering,TCE,"TOMS College of Engineering,Kottayam",S,54516,-,-,-,-,-,-,-,-,-,-,-,-,,7
Civil Engineering,TCT,"Trinity College of Engineering, Thiruvananthapuram",S,63714,-,-,-,-,-,-,-,-,-,-,-,-,FW:30690,7
